region,season,map code,DS to VS,DS to CSS,DS to LSS,DS cluster size,VS cluster size,CSS cluster size,LSS cluster size
europe,2012-2013,81.0,1.6846907304936156,1.7175481891030624,1.7175481891030624,4.0,1.0,4.0,4.0
europe,2012-2013,82.0,3.0201909986290203,1.8740438015128245,1.8740438015128245,5.0,1.0,3.0,3.0
europe,2012-2013,83.0,3.8418587332009984,1.9914159503488698,1.9914159503488698,2.0,1.0,3.0,3.0
europe,2013-2014,84.0,2.933394166788697,0.8420832905862292,1.356945461146459,5.0,2.0,1.0,6.0
europe,2013-2014,85.0,2.412106100796854,1.17367414487353,0.6904902054558136,4.0,2.0,1.0,1.0
europe,2013-2014,87.0,2.968753513157556,0.1448911289322304,2.9844831822244893,2.0,2.0,5.0,1.0
europe,2013-2014,88.0,2.884566118727098,0.4802621612065011,3.073306283465423,2.0,2.0,5.0,1.0
europe,2014-2015,89.0,6.812495606024585,3.9040386387685353,3.9040386387685353,2.0,2.0,5.0,5.0
europe,2014-2015,90.0,5.566122937796721,4.51762207725755,4.51762207725755,8.0,2.0,3.0,3.0
europe,2015-2016,91.0,1.4635449560937523,0.0,0.0,2.0,3.0,2.0,2.0
europe,2015-2016,92.0,1.1038876736316274,0.0,0.0,3.0,9.0,3.0,3.0
europe,2015-2016,93.0,1.1685281506529916,0.0,0.0,6.0,5.0,6.0,6.0
europe,2015-2016,94.0,1.5884023279359187,0.0,0.0,8.0,4.0,8.0,8.0
europe,2015-2016,95.0,2.204021314959795,0.0,0.0,2.0,3.0,2.0,2.0
europe,2016-2017,96.0,2.4305506338979557,0.6728910782983393,0.6728910782983393,1.0,2.0,2.0,2.0
europe,2016-2017,97.0,3.2136113765612353,1.0445261894889901,1.0445261894889901,1.0,3.0,2.0,2.0
europe,2016-2017,98.0,3.112689866651356,1.0780493749861526,1.0780493749861526,1.0,3.0,4.0,4.0
europe,2016-2017,99.0,2.890766013465616,1.0907505019659303,1.0907505019659303,1.0,2.0,2.0,2.0
europe,2017-2018,100.0,1.487107188864747,1.7556871660047775,1.7556871660047775,3.0,2.0,1.0,1.0
europe,2017-2018,101.0,1.3637101493547938,1.8537613091446352,1.8537613091446352,2.0,3.0,1.0,1.0
europe,2017-2018,102.0,1.3223628811322987,2.6149484681998088,2.6149484681998088,3.0,3.0,1.0,1.0
europe,2017-2018,103.0,1.4545274070281842,2.140638534376764,2.140638534376764,3.0,3.0,1.0,1.0
europe,2017-2018,104.0,1.1800235339351761,1.7786113861416153,1.7786113861416153,5.0,3.0,1.0,1.0
europe,2018-2019,105.0,3.1224382357045295,1.6993502004119354,1.6993502004119354,3.0,2.0,3.0,3.0
europe,2018-2019,106.0,4.51413708570053,3.80193726761234,3.80193726761234,1.0,2.0,2.0,2.0
europe,2018-2019,107.0,3.7130225709178974,0.6636859738899286,0.6636859738899286,6.0,2.0,4.0,4.0
europe,2018-2019,108.0,3.959830885000444,1.168508763425748,1.168508763425748,6.0,2.0,4.0,4.0
europe,2018-2019,109.0,3.958239388251294,3.252205237424748,3.252205237424748,1.0,1.0,2.0,2.0
europe,2019-2020,110.0,0.8347549683659422,3.9205625255046845,0.8347549683659422,4.0,7.0,3.0,7.0
europe,2019-2020,111.0,0.2955385918573532,3.728233390996682,0.2955385918573532,4.0,2.0,5.0,2.0
europe,2019-2020,112.0,1.3457141733950284,3.8207769824311932,1.3457141733950284,4.0,2.0,3.0,2.0
europe,2019-2020,113.0,0.526594296747018,2.925000146119838,0.526594296747018,7.0,2.0,4.0,2.0
europe,2019-2020,114.0,0.10121794721698009,2.902335186217822,0.10121794721698009,4.0,7.0,4.0,7.0
europe,2020-2021,115.0,2.1954336140010935,2.1954336140010935,2.1954336140010935,3.0,4.0,4.0,4.0
europe,2020-2021,116.0,0.45024354119467674,0.45024354119467674,0.45024354119467674,2.0,6.0,6.0,6.0
europe,2020-2021,117.0,2.581830749628616,2.581830749628616,2.581830749628616,2.0,5.0,5.0,5.0
europe,2020-2021,118.0,0.45046334555028084,0.45046334555028084,0.45046334555028084,1.0,4.0,4.0,4.0
europe,2021-2022,119.0,4.096086381758823,1.7282324918921588,3.117139071850602,9.0,1.0,2.0,1.0
europe,2021-2022,120.0,4.012393868902785,1.8655368846323916,3.107771656335194,6.0,1.0,2.0,1.0
europe,2021-2022,121.0,2.792901113193179,1.6975514751509424,1.9542715663959915,12.0,1.0,2.0,1.0
europe,2021-2022,122.0,6.787609906609444,2.179376084403698,5.904477726642635,1.0,1.0,4.0,1.0
europe,2022-2023,123.0,0.8742461388046763,0.9613131295159669,1.2092997844208626,1.0,2.0,1.0,6.0
europe,2022-2023,124.0,1.1530169347081618,1.1052438397761195,1.526753819095313,3.0,3.0,1.0,9.0
europe,2022-2023,125.0,2.506191903383116,3.3229488305336443,2.413100761552304,1.0,2.0,1.0,21.0
europe,2022-2023,126.0,1.440370378646686,1.188447445835914,1.052258607401898,1.0,2.0,1.0,17.0
europe,2022-2023,127.0,1.2460716163474563,2.0451666986935297,1.9370408515437776,3.0,3.0,1.0,7.0
us,2002-2003,1.0,4.954323761582455,5.391296205681127,5.391296205681127,2.0,1.0,2.0,2.0
us,2002-2003,2.0,4.8398499711124146,4.795022320182651,4.795022320182651,2.0,1.0,2.0,2.0
us,2002-2003,3.0,5.3417620102474705,5.1523703158635294,5.1523703158635294,2.0,1.0,1.0,1.0
us,2003-2004,1.0,4.954323761582455,0.0,0.0,2.0,1.0,2.0,2.0
us,2003-2004,2.0,4.8398499711124146,0.0,0.0,2.0,1.0,2.0,2.0
us,2003-2004,3.0,5.3417620102474705,0.0,0.0,2.0,1.0,2.0,2.0
us,2003-2004,63.0,5.45545415575855,0.0,0.0,2.0,1.0,2.0,2.0
us,2003-2004,64.0,5.413343268893271,0.0,0.0,1.0,1.0,1.0,1.0
us,2004-2005,,,,,,,,
us,2005-2006,,,,,,,,
us,2006-2007,,,,,,,,
us,2007-2008,128.0,4.062434921202458,3.1705870345684586,2.0363618830273187,2.0,3.0,4.0,3.0
us,2008-2009,11.0,2.5152592105170952,0.0,0.0,1.0,1.0,1.0,1.0
us,2008-2009,73.0,1.1199016309386758,0.0,0.0,13.0,1.0,13.0,13.0
us,2009-2010,11.0,4.171150499068547,5.397730194131247,5.397730194131247,5.0,1.0,1.0,1.0
us,2009-2010,129.0,4.920172389366667,5.0833759002947065,5.0833759002947065,9.0,2.0,1.0,1.0
us,2010-2011,,,,,,,,
us,2011-2012,74.0,3.4633061416916133,2.1712940445042133,2.1712940445042133,1.0,1.0,7.0,7.0
us,2011-2012,76.0,4.06333606757127,4.3265599294197274,4.3265599294197274,1.0,1.0,4.0,4.0
us,2011-2012,77.0,2.3097023406996864,0.7663795572760183,0.7663795572760183,1.0,1.0,6.0,6.0
us,2011-2012,78.0,3.8658344330579406,3.8575067621218446,3.8575067621218446,1.0,1.0,10.0,10.0
us,2011-2012,130.0,2.6600150913480887,1.412352606968714,1.412352606968714,1.0,1.0,3.0,3.0
us,2012-2013,131.0,2.341424015383591,2.193251428771934,2.193251428771934,5.0,1.0,3.0,3.0
us,2012-2013,132.0,1.8395502943218254,1.6682500512491247,1.6682500512491247,5.0,2.0,10.0,10.0
us,2012-2013,133.0,2.9267382460184606,1.3960743743474815,1.3960743743474815,5.0,1.0,7.0,7.0
us,2012-2013,134.0,6.508014617908133,4.68480457975594,4.68480457975594,5.0,1.0,7.0,7.0
us,2012-2013,135.0,2.579497862187938,1.3860433297787647,1.3860433297787647,5.0,1.0,4.0,4.0
us,2013-2014,136.0,2.172510828563433,0.967055681656358,1.215332957016377,2.0,2.0,5.0,3.0
us,2013-2014,137.0,3.301517516935851,1.5244856566400193,2.8786311387321857,2.0,2.0,5.0,1.0
us,2014-2015,138.0,5.172442734040038,5.638488606794131,5.638488606794131,8.0,2.0,6.0,6.0
us,2014-2015,139.0,5.185563490886053,2.3313216357227597,2.3313216357227597,2.0,2.0,7.0,7.0
us,2014-2015,140.0,5.023270532575572,3.0381119571470454,3.0381119571470454,4.0,2.0,7.0,7.0
us,2015-2016,95.0,2.204021314959795,0.0,0.0,2.0,3.0,2.0,2.0
us,2015-2016,141.0,1.6992308377225118,0.0,0.0,3.0,6.0,3.0,3.0
us,2015-2016,142.0,2.068507177799223,0.0,0.0,3.0,5.0,3.0,3.0
us,2015-2016,143.0,1.1685281849460758,0.0,0.0,6.0,5.0,6.0,6.0
us,2015-2016,144.0,2.8236540992783805,0.0,0.0,4.0,2.0,4.0,4.0
us,2016-2017,97.0,3.2136113765612353,1.0445261894889901,1.0445261894889901,1.0,3.0,2.0,2.0
us,2016-2017,99.0,2.890766013465616,1.0907505019659303,1.0907505019659303,1.0,2.0,2.0,2.0
us,2016-2017,145.0,2.43055075245342,0.672891251336314,0.672891251336314,1.0,2.0,2.0,2.0
us,2016-2017,146.0,3.1126899331797384,1.0780493497580854,1.0780493497580854,1.0,3.0,4.0,4.0
us,2017-2018,101.0,1.3637101493547938,1.8537613091446352,1.8537613091446352,2.0,3.0,1.0,1.0
us,2017-2018,147.0,1.9025384309100213,2.2413523036761793,2.2413523036761793,5.0,4.0,1.0,1.0
us,2017-2018,148.0,1.3522385175709097,2.4446163527564564,2.4446163527564564,2.0,3.0,1.0,1.0
us,2018-2019,149.0,2.071195656215806,1.6977120476544227,1.6977120476544227,2.0,2.0,4.0,4.0
us,2018-2019,150.0,3.1984507589776467,2.8967836572176284,2.8967836572176284,3.0,2.0,3.0,3.0
us,2018-2019,151.0,3.1653067044765866,1.999422146475488,1.999422146475488,2.0,2.0,4.0,4.0
us,2019-2020,152.0,3.5775561230465653,0.3416795872603025,3.5775561230465653,1.0,2.0,2.0,2.0
us,2019-2020,153.0,2.965041589893712,0.24852195206800337,2.965041589893712,1.0,7.0,4.0,7.0
us,2019-2020,154.0,2.5516835308622965,1.943084310418218,2.5516835308622965,1.0,2.0,3.0,2.0
us,2019-2020,155.0,3.7848946444773053,1.191459255371254,3.7848946444773053,1.0,1.0,2.0,1.0
us,2020-2021,156.0,1.4485051522722967,1.4485051522722967,1.4485051522722967,1.0,4.0,4.0,4.0
us,2020-2021,157.0,2.404040463735416,2.404040463735416,2.404040463735416,2.0,5.0,5.0,5.0
us,2020-2021,158.0,2.209728308298543,2.209728308298543,2.209728308298543,3.0,4.0,4.0,4.0
us,2020-2021,159.0,2.1917285089778087,2.1917285089778087,2.1917285089778087,1.0,2.0,2.0,2.0
us,2020-2021,160.0,0.5118758873821305,0.5118758873821305,0.5118758873821305,2.0,4.0,4.0,4.0
us,2021-2022,161.0,0.9289955933799092,2.5753196601286192,1.3936413115459247,2.0,1.0,3.0,1.0
us,2022-2023,125.0,2.506191903383116,3.3229488305336443,2.413100761552304,1.0,2.0,1.0,21.0
us,2022-2023,162.0,1.4535789356188453,2.3432130523602277,1.6389833222222496,1.0,2.0,1.0,9.0
us,2022-2023,163.0,1.0723406563966467,1.308187650936408,2.2278161252934825,2.0,3.0,1.0,6.0
