"type","name","",""
"antigen","A/Bretagne/1413/2017|2017-10-09|MDCK1/SIAT4","2.91757749359802","0.156715749774353"
"antigen","A/Christchurch/516/2019|2019-04-03|E3/E1","4.05430011951555","-0.646719164720115"
"antigen","A/England/538/2018|2018-02-26|MDCK1/SIAT4","-0.734699512961701","2.10585456844781"
"antigen","A/Hong Kong/5738/2014|2014-04-30|MDCK1/MDCK2/SIAT1","1.95744099908366","-0.0138455884956006"
"antigen","A/Kansas/14/2017|2017-12-14|SIAT3/SIAT2","-0.32017732009852","1.87121798027671"
"antigen","A/Newcastle/82/2018|2018-12-23|E4/E1","2.81538820777154","-1.37252563296002"
"antigen","A/Qatar/10-VI-19-0048252/2019|2019-08-21|SIAT1","1.27817402235943","-2.46577732849763"
"antigen","A/Qatar/10-VI-19-0048255/2019|2019-08-21|SIAT1","1.71283657383468","-1.80258704703094"
"antigen","A/Qatar/10-VI-19-0048317/2019|2019-08-22|SIAT1","1.6972436205309","-2.05725117877219"
"antigen","A/Qatar/10-VI-19-0048332/2019|2019-08-22|SIAT1","1.5868026749976","-2.14117457811321"
"antigen","A/Qatar/10-VI-19-0048393/2019|2019-08-22|SIAT1","1.40876555356902","-1.7511913052623"
"antigen","A/Qatar/10-VI-19-0049653/2019|2019-08-29|SIAT1","2.07943161104992","-0.795428498246555"
"antigen","A/Qatar/13-VI-19-0046447/2019|2019-08-08|SIAT1","1.27530639832064","-1.75436883560902"
"antigen","A/Qatar/16-VI-19-0048499/2019|2019-08-22|SIAT1","2.01445032155838","-1.78591979405686"
"antigen","A/Qatar/16-VI-19-0048823/2019|2019-08-25|SIAT1","1.56078765434854","-1.08915393759949"
"antigen","A/Qatar/16-VI-19-0049409/2019|2019-08-27|SIAT1","1.07740056076476","-0.903703173259774"
"antigen","A/Singapore/INFIMH-16-0019/2016|2016-04-14|E5/E2","1.92748043735738","-1.63797059278949"
"antigen","A/South Australia/34/2019|2019-02-06|E6/E1","3.9123682490221","-0.732721553094666"
"antigen","A/Switzerland/8060/2017|2017-12-12|E7/E1","3.48024479944741","0.259827208170796"
"antigen","IVR-197 (A/South Australia/34/2019)|2019-02-06|E5/D8/E1","3.82137826831111","-0.628083289452875"
