"type","name","",""
"antigen","A/Brisbane/10/2007|2007-02-06|E2_1","1.99592522800397","0.402962168049217"
"antigen","A/Brisbane/24/08|2008-06-23|E5_1E","1.76100262258691","0.732767835065283"
"antigen","A/Denmark/183/2008|2008-04-11|MDCK2_1","-4.05481765450796","-1.39209883622919"
"antigen","A/Denmark/185/2008|2008-04-16|MDCK2_1","-4.05481833003783","-1.39209705513362"
"antigen","A/Denmark/190/2008|2008-04-17|MDCK2_1","-3.15860622630697","-0.208852868999871"
"antigen","A/Finland/122/2008|2008-01-25|MDCK1_1","-3.78539423582689","0.818898109049917"
"antigen","A/Finland/149/2008|2008-01-28|MDCK2_1","-3.39370665954831","-0.128898287559396"
"antigen","A/Finland/9/2008|2008-01-07|MDCK2_3","-3.06521263938572","0.494408846907003"
"antigen","A/Geneva/8417/2008|2008-01-16|MDCK1_1","-3.27346828466142","-2.48239313359706"
"antigen","A/Geneva/8428/09|2008-01-22|MDCK3_1","-3.58767059691447","-0.784311557995253"
"antigen","A/Ghana/11/2008|2008-07-15|MDCKx_1","-2.94147329450966","0.306892250510789"
"antigen","A/Henan/Jinshui/147/2007|*|E3_1","2.45300343840457","-0.405077036887277"
"antigen","A/Hong Kong/1050/08|2008-04-23|MDCK2_1","-2.84914924199266","-1.42817584650649"
"antigen","A/Hong Kong/1778/2008|2008-07-23|MDCK2_1","-1.15571914737082","3.39701513780187"
"antigen","A/Hong Kong/1859/2008|2008-07-25|MDCK2_1","-2.61714360462782","-1.77624413186178"
"antigen","A/Hong Kong/796/08|2008-03-15|MDCK2_1","-1.6793858114769","0.0455668672131232"
"antigen","A/Johannesburg/15/2008|2008-06-26|MDCKx_2","-3.20410097333126","0.252316692317655"
"antigen","A/Lyon/762/08|2008-02-26|P2MDCK_1","-2.73851203869571","-1.4604882485228"
"antigen","A/Lyon/CHU19.113/08|2008-05-05|P2MDCK_1","-4.0356659882534","0.800131945675161"
"antigen","A/Mauritius/402/2008|2008-07-09|MDCK3","-3.27346826229017","-2.48239316623288"
"antigen","A/Mississippi/4/2008|2008-01-15|E5/E2_1E","0.339646561081673","2.45914819996256"
"antigen","A/Nepal/921/2006|2006-07-11|E2_2","1.80938360503608","0.671760041648723"
"antigen","A/Norway/1034/2008|2008-04-19|LLC-MK2-1_1","-2.88302447744883","-1.50429787700827"
"antigen","A/Norway/848/2008|2008-04-01|MDCK2_1","-3.33252794015747","-1.33432128948081"
"antigen","A/Norway/966/2008|2008-04-15|MDCK2_1","-3.52182542156656","-2.79530800328749"
"antigen","A/Perth/201/08|2008-07-15|E4_1E","2.50041918074712","-1.37487227860824"
"antigen","A/Prague/3/2007|2007-02-01|MDCK3 E4_2","2.337653751372","0.156334056351897"
"antigen","A/Saitama/27/2008|2008-05-08|MDCK1+2_1","-1.15790455771314","-2.58710181428333"
"antigen","A/Singapore/21/08|2008-05-02|E3_1E","2.09091899638533","-0.556939191864459"
"antigen","A/Toulouse/609/08|2008-01-18|P2MDCK_1","-2.73851204178607","-1.46048824474178"
"antigen","A/Toyama/123/2008|2008-04-03|MDCK1+2_1","-2.66762979998101","0.572894518011121"
"antigen","A/Trieste/25E/2007|2007-01-01|MDCKx_2E2","2.41257251608476","-0.487764629895445"
"antigen","A/Trieste/25c/2007|2007-01-01|MDCKx_4","-3.16123165543252","-1.38475070363484"
"antigen","A/Ulaanbaatar/1600/2008|2008-02-13|C2/C2_1","-3.04757336334787","2.56408368349684"
"antigen","A/Uruguay/716/2007|2007-06-21|SpfCk1 E3_2","2.08179989321382","0.492717034176326"
"antigen","A/Washington/42/2007|2007-12-12|E6/E2_1E","-1.10629411572551","3.46424820831248"
"antigen","A/Wellington/2/08|2008-05-28|E3_1E","1.28528392209155","1.27170866521754"
"antigen","A/Wisconsin/3/2007|2007-01-21|Ex_6","2.05766233612174","0.907880190389489"
"antigen","A/Wisconsin/67/2005|2005-08-31|SpfCk3 E3_4","2.08480111885146","0.728657137558213"
"antigen","A/Berlin/50/2008|2008-03-11|MDCKx_1","-2.58630862026798","-2.29334507989412"
"antigen","A/Brisbane/10/2007|2007-02-06|E2_3","1.99729206214716","0.454876602710336"
"antigen","A/Finland/9/2008|2008-01-07|MDCK2_1","-2.56546961623735","1.07133010272981"
"antigen","A/Hong Kong/796/2008|2008-03-15|MDCK2_1","-1.67938564533403","0.0455661652229215"
"antigen","A/Iceland/82/2008|2008-05-06|MDCK2_1","-3.50045174121759","2.34902872792102"
"antigen","A/Johannesburg/15/2008|2008-06-26|MDCKx_1","-1.50685562247374","2.69149714287436"
"antigen","A/Khabarovsk/5/2008|2008-04-14|C6_1","-2.20666608734111","3.67699758600594"
"antigen","A/Lyon/669/08|2008-02-14|MDCK2_1","-1.88759643339455","-3.13588082331047"
"antigen","A/Lyon/CHU/ 19.113/08|2008-05-05|MDCK2_1","-4.035665988877","0.800132002165028"
"antigen","A/Netherlands/177/2008|2008-02-18|xMDCK2_1","-1.23887203181409","2.75146801260534"
"antigen","A/Paris/2030/2008|2008-02-01|MDCKx_1","-3.0693436501874","1.04928686753832"
"antigen","A/Trieste/25E/2007|2007-01-01|MDCKx_2E1","2.33453346660035","0.0998782147796315"
