"type","name","",""
"antigen","A/Cote D'Ivoire/544/2016|2016-04-06|P1/SIAT1","-2.01611167487073","-1.47356885719882"
"antigen","A/Cote D'Ivoire/595/2016|2016-04-15|P1/SIAT1","-2.08157203796698","0.294358178037619"
"antigen","A/Cote D'Ivoire/599/2016|2016-04-15|P1/SIAT1","-1.84041261299763","0.786019290745182"
"antigen","A/Cote D'Ivoire/651/2016|2016-04-25|P2/SIAT1","-2.33222106790897","0.00563214790933273"
"antigen","A/Cote D'Ivoire/695/2016|2016-05-06|P1/SIAT1","-2.09346142907571","-0.0557416236454878"
"antigen","A/Finland/586/2016|2016-02-15|SIAT1/SIAT1","-0.733354720736512","-0.39247297229569"
"antigen","A/Georgia/532/2015|2015-03-09|SIAT1/SIAT3","-0.231153380830331","2.29355571766953"
"antigen","A/Hong Kong/146/2013|2013-01-11|E6","2.84338537548724","1.46769789503427"
"antigen","A/Hong Kong/4801/2014|2014-02-26|E6/E2","-0.400071828672337","1.20945724962856"
"antigen","A/Hong Kong/4801/2014|2014-02-26|MDCK4/MDCK1/SIAT1","-0.369328689100891","2.22748036982579"
"antigen","A/Hong Kong/5738/2014|2014-04-30|MDCK1/MDCK2/SIAT2","-0.793254244765138","1.66985653465892"
"antigen","A/Istanbul/1946182/2016|2016-03-03|MDCK1/SIAT1","-0.946896075121664","-1.55771996843352"
"antigen","A/Kazakhstan/4766/2016|2016-02-29|SIAT1","-0.938546411496711","-0.179208907992851"
"antigen","A/Netherlands/525/2014|2014-12-17|SIAT2/SIAT4","2.57051280536097","-0.637748651282849"
"antigen","A/Samara/73/2013|2013-03-12|C1/SIAT3","2.17229890728059","0.979107910808435"
"antigen","A/Slovenia/486/2016|2016-02-01|MDCK1/SIAT2","-1.04498270881577","1.43820385353487"
"antigen","A/South Africa/R3026/2016|2016-05-26|MDCK1/SIAT1","-2.64982601081233","1.92172161421503"
"antigen","A/South Africa/R3142/2016|2016-05-30|MDCK1/SIAT1","-1.30258342826816","1.3987209460944"
"antigen","A/South Africa/R3328/2016|2016-06-02|MDCK1/SIAT1","-1.54094206879785","0.564204941651341"
"antigen","A/South Africa/VW0036/2016|2016-06-04|MDCK1/SIAT1","-2.23525304417771","0.073339448038433"
"antigen","A/Stockholm/24/2016|2016-02-22|MDCK3/SIAT1","-1.22446152898963","-0.128157518812287"
"antigen","A/Stockholm/25/2016|2016-02-24|MDCK2/SIAT1","-3.07536915834601","-0.621529569715497"
"antigen","A/Stockholm/28/2016|2016-03-10|MDCK2/SIAT1","-2.37419739116643","0.184141744859148"
"antigen","A/Stockholm/6/2014|2014-02-06|E4/E1","2.24741426390399","-0.513359467243155"
"antigen","A/Stockholm/6/2014|2014-02-06|SIAT1/SIAT2","0.473976260473398","-0.492373465567056"
"antigen","A/Switzerland/9715293/2013|2013-12-06|E4/E1","1.83257770134314","-0.0651981085360362"
"antigen","A/Switzerland/9715293/2013|2013-12-06|SIAT1/SIAT2","-0.380111739776668","-1.01145626322006"
"antigen","A/Texas/50/2012|2012-04-15|E5/E2","2.86907341547608","1.00623986196177"
"antigen","A/Ukraine/7030/2016|2016-01-04|P2/MDCK1","-1.6756576247131","1.23999955439176"
"antigen","A/Dnipro/244/2017|2017-01-02|MDCK1/SIAT1","-0.316324497341912","-0.911944221632857"
"antigen","A/Friuli-Venezia Giulia/59/2017|2017-02-01|SIAT1/SIAT1","0.28068672329564","-2.07810413102885"
"antigen","A/Georgia/532/2015|2015-03-09|SIAT1/SIAT5","0.841178755160824","1.11369584721324"
"antigen","A/Hong Kong/4801/2014|2014-02-26|MDCK4/MDCK1","1.01099712063461","-0.496163068747769"
"antigen","A/Hong Kong/5738/2014|2014-04-30|MDCK1/MDCK2/SIAT3","1.27019600207403","-0.160383415602532"
"antigen","A/Khmelnitsky/138/2017|2017-01-02|MDCK/SIAT1/SIAT1","-0.364683998761976","-1.2089557351041"
"antigen","A/Khmelnitsky/143/2017|2017-01-06|MDCK/SIAT1/SIAT1","-0.810832799253615","-1.96119560232615"
"antigen","A/Khmelnitsky/145/2017|2017-01-06|MDCK/SIAT1/SIAT2","-0.244814735496463","-0.503972299153526"
"antigen","A/Khmelnitsky/147/2017|2017-01-11|MDCK/SIAT1/SIAT1","0.0865297979765469","-1.00760631939362"
"antigen","A/Khmelnitsky/148/2017|2017-01-12|MDCK/SIAT1/SIAT1","-0.0487743740466185","-0.803283125969706"
"antigen","A/Khmelnitsky/150/2017|2017-01-26|MDCK/SIAT1/SIAT1","-0.0749468963846652","-0.424887917059729"
"antigen","A/Kyiv/84/2017|2017-01-22|SIAT1/SIAT1","-0.222883812001383","0.625751913553497"
"antigen","A/Norway/1934/2017|2017-03-21|SIAT1/SIAT1","-0.457616185104573","-1.24465795139467"
"antigen","A/Norway/1940/2017|2017-03-20|SIAT1/SIAT1","-0.337987111413375","0.681429165527257"
"antigen","A/Norway/2113/2017|2017-03-30|SIAT1/SIAT1","-0.484588999839071","-1.32804146909914"
"antigen","A/Odesa/62/2017|2017-01-02|MDCK/SIAT1/SIAT1","0.394881620966803","-0.374944530564947"
"antigen","A/Odesa/66/2017|2017-01-05|MDCK/SIAT1/SIAT1","-0.426764855207576","-1.59655244458449"
"antigen","A/Odesa/69/2017|2017-01-08|MDCK/SIAT1/SIAT1","0.645345265291357","0.0222335920122033"
"antigen","A/Odesa/70/2017|2017-01-05|MDCK/SIAT1/SIAT1","-0.201044170191887","-1.84604499710271"
"antigen","A/Odesa/72/2017|2017-01-10|MDCK/SIAT1/SIAT1","-0.12881837659793","-1.06649683766861"
"antigen","A/Odesa/73/2017|2017-01-09|MDCK/SIAT1/SIAT1","-0.210431042609955","-1.22601181788619"
