"type","name","",""
"antigen","A/Alabama/5/2010|2010-07-13|MK1/C2/SIAT2","-2.33404267739574","-3.51381187648886"
"antigen","A/Athens/112/2012|2012-02-01|SIAT7","-1.61808340930436","-0.873224412282201"
"antigen","A/Belgrade/648/2013|2013-02-05|C2/SIAT2","-3.51791162419892","-0.273831218533443"
"antigen","A/Belgrade/649/2013|2013-02-05|C2/SIAT3","-3.05772706549444","0.01534936319707"
"antigen","A/Belgrade/650/2013|2013-02-05|C2/SIAT3","-2.76690749453821","-0.428873983896522"
"antigen","A/Berlin/93/2011|2011-12-07|NVD3/SIAT6","-1.16567125229824","-1.83969613671267"
"antigen","A/Dnipropetrovsk/257/2013|2013-03-01|MDCK1/SIAT2","-2.59350800278235","-0.226404247238956"
"antigen","A/Dnipropetrovsk/361/2013|2013-03-06|MDCK1/SIAT1","-2.76222909321994","0.176231982616359"
"antigen","A/Dnipropetrovsk/364/2013|2013-03-15|MDCK1/SIAT1","-2.37566044106061","-1.68266594796814"
"antigen","A/Dnipropetrovsk/369/2013|2013-03-22|MDCK1/SIAT1","-2.17652426661898","-1.65172277513291"
"antigen","A/Dnipropetrovsk/390/2013|2013-03-15|MDCK1/SIAT1","-2.10183452461833","-1.39936289939402"
"antigen","A/Hawaii/22/2012|2012-07-09|E4/E1","0.00987462633905162","-0.00743597387919616"
"antigen","A/Iceland/14/2013|2013-01-10|MDCK1/SIAT1","-2.10183448636866","-1.39936300086484"
"antigen","A/Iceland/27/2012|2012-11-20|MDCK2/SIAT1","-2.21568220449108","-1.93933590519181"
"antigen","A/Iceland/30/2013|2013-01-28|MDCKx/SIAT1","-3.03286090936267","-1.83223562411384"
"antigen","A/Iowa/19/2010|2010-12-30|E3/E2","0.0899881089766274","-0.474222984765156"
"antigen","A/Kmelnitsk/477/2013|2013-03-25|MDCK1/SIAT1","-1.12554314022153","-1.3294147755641"
"antigen","A/Milano/28/2013|2013-02-19|MDCK1/SIAT3","-2.87578624986697","-1.73463187101415"
"antigen","A/Moldova/235/2013|2013-02-21|MDCK2/SIAT3","-3.05751124891471","-0.297288096606162"
"antigen","A/Odessa/175/2013|2013-01-09|MDCK2/SIAT1","-1.84223757096384","-1.65299506986094"
"antigen","A/Parma/27/2013|2013-01-25|MDCK2/SIAT2","-2.64622610739019","-0.643112734295075"
"antigen","A/Perth/16/2009|2009-07-04|E3/E2","-0.476897200017147","-3.21541358166025"
"antigen","A/Perugia/14/2013|2013-01-27|MDCK2/SIAT2","-2.73211686215388","-0.698958304010108"
"antigen","A/Stockholm/18/2011|2011-03-28|SIAT5","-2.08253668823027","-2.11126676050954"
"antigen","A/Texas/50/2012|2012-04-15|E5/E1","-0.148050229180138","-0.284940084767649"
"antigen","A/Trieste/12/2013|2013-01-28|SIAT2","-2.58079017191619","-0.412987882049066"
"antigen","A/Ukraine/181/2013|2013-01-21|MDCK1/SIAT1","-1.68351281450092","-2.56042194776907"
"antigen","A/Ukraine/211/2013|2013-02-20|SIAT1/SIAT2","-2.667810520979","-0.491899826372022"
"antigen","A/Ukraine/263/2013|2013-03-11|SIAT1/SIAT2","-2.96739982537235","-0.208619391989369"
"antigen","A/Ukraine/275/2013|2013-03-08|SIAT1/SIAT2","-2.96739982143904","-0.208619424279299"
"antigen","A/Ukraine/466/2013|2013-04-18|MDCK1/SIAT2","-1.6658397699113","-0.737327088562099"
"antigen","A/Ukraine/5725/2013|2013-01-21|C2/MDCK1/SIAT1","-2.98195426844025","-1.20849945402638"
"antigen","A/Ukraine/5812/2013|2013-02-17|C2/SIAT2","-3.245160917113","-0.0565153358400963"
"antigen","A/Ukraine/5906/2013|2013-03-05|C2/SIAT3","-2.86763819354311","-1.75101841380787"
"antigen","A/Victoria/208/2009|2009-06-02|E3/E2","0.0554258295035972","0.0486701782833199"
"antigen","A/Victoria/361/2011|2011-10-24|E3/E2","-0.11929416992673","1.30766333296202"
"antigen","A/Victoria/361/2011|2011-10-24|MDCK2/SIAT2","-2.2918907063236","-1.64248301543722"
"antigen","A/Alabama/5/2010|2010-07-13|MK1/M2/SIAT2","-0.502692294688529","-3.82683445153269"
"antigen","A/Attecoube/GR1103/2011|2011-10-18|SIAT3","-0.487156134027731","-1.8057638884667"
"antigen","A/Baden-Wurttemberg/2/2012|2012-01-01|C2/SIAT1","2.14445209568515","-2.77306841100526"
"antigen","A/Berlin/2/2012|2011-12-09|C2/SIAT1","2.01706269328308","-2.99160830887892"
"antigen","A/Berlin/3/2012|2012-01-10|C2/SIAT1","1.78840936297208","-3.52361522659666"
"antigen","A/Brisbane/10/2007|2007-02-06|E2/E1","4.9044722267966","5.04747238958874"
"antigen","A/Catalonia/S4320/2011|2011-12-27|C0/SIAT1","2.16297851731725","-2.7776830573447"
