"type","name","",""
"antigen","A/Bangladesh/4005/2020|2020-10-04|SIAT2","-1.3904283673718","0.11191662564484"
"antigen","A/California/55/2020|2020-10-12|SIAT2/SIAT1","-0.959035928476729","-1.2023078234691"
"antigen","A/Cambodia/e0826360/2020|2020-07-16|E5/E2","-0.976677951919903","0.105375808001752"
"antigen","A/Darwin/6/2021|2021-03-16|E4/E1","0.465754075412711","0.278900090956192"
"antigen","A/Darwin/9/2021|2021-04-17|E3/E1","-0.193765950560619","0.576323801076046"
"antigen","A/Denmark/3264/2019|2019-10-25|SIAT3/SIAT3","-1.92069781218708","-0.539266254113118"
"antigen","A/England/538/2018|2018-02-26|MDCK1/SIAT3","-4.86759317525029","-1.11054994905235"
"antigen","A/Hong Kong/2671/2019|2019-06-17|E8/E1","-3.90205979250068","1.20962791610325"
"antigen","A/Hong Kong/2671/2019|2019-06-17|MDCK1/SIAT4","-2.6301364618185","-0.162490313128495"
"antigen","A/Hong Kong/5738/2014|2014-04-30|MDCK1/MDCK2/SIAT2","-2.81710649985564","-1.74004088966734"
"antigen","A/Kansas/14/2017|2017-12-14|SIAT3/SIAT2","-3.79523231458817","-0.854929777864704"
"antigen","A/Singapore/INFIMH-16-0019/2016|2016-04-14|E5/E3","-1.62348658483491","-2.76777424422826"
"antigen","NYMC X-327 (A/Kansas/14/17)|2017-12-14|Ex/E1","-5.06888745208866","0.223952497640349"
"antigen","A/Baden-Wurttemberg/2/2021|2021-12-27|P1/SIAT1","-1.21804571190977","0.396287168964621"
"antigen","A/Bangladesh/4005/2020|2020-10-04|SIAT3","-1.07975129081825","0.713699171754611"
"antigen","A/Berlin/4/2021|2021-12-16|P2/SIAT1","0.327254833649042","0.275293213575373"
"antigen","A/Berlin/5/2021|2021-12-23|P1/SIAT1","0.785000454130698","-0.12977119443446"
"antigen","A/Berlin/6/2021|2021-12-29|P1/SIAT1","0.535129405264031","0.044678181168735"
"antigen","A/Berlin/7/2021|2021-12-31|P1/SIAT1","0.0965793114681437","0.264353531063504"
"antigen","A/Cambodia/925256/2020|2020-09-25|SIAT5","-3.64616788660179","0.948621549336623"
"antigen","A/Darwin/9/2021|2021-04-17|E3/E2","-0.378722187952744","1.05192887146335"
"antigen","A/Denmark/3264/2019|2019-10-25|SIAT3/SIAT4","-3.2314860180778","1.76219977503566"
"antigen","A/Hessen/1/2022|2022-01-04|P1/SIAT1","0.535129406087756","0.0446781808244861"
"antigen","A/Ireland/2707/2021|2021-12-05|SIAT1","0.058557622211273","-0.853871312832673"
"antigen","A/Ireland/6979/2021|2021-12-20|SIAT1","0.535129405653939","0.0446781810183148"
"antigen","A/Ireland/92285/2021|2021-10-21|SIAT1","-1.14778498744983","0.849614443581779"
"antigen","A/Kyiv/1/2022|2022-01-05|SIATx/SIAT1","0.297800867097188","0.47835982217259"
"antigen","A/Kyiv/3/2022|2022-01-05|SIATx/SIAT1","0.297800867340809","0.478359822174281"
"antigen","A/Kyiv/4/2022|2022-01-05|SIATx/SIAT1","0.334972856901079","0.0693185686938014"
"antigen","A/Kyiv/41/2022|2022-01-04|SIATx/SIAT1","-0.93107826029303","0.881920215986484"
"antigen","A/Kyiv/5/2022|2022-01-05|SIATx/SIAT1","0.0671182856621844","0.471599413238051"
"antigen","A/Kyiv/7/2022|2022-01-05|SIATx/SIAT1","0.198384988037232","0.804464640100947"
"antigen","A/Nordrhein-Westfalen/1/2021|2021-12-20|P1/SIAT1","-1.49608420732985","1.94981712757561"
"antigen","A/Nordrhein-Westfalen/2/2021|2021-12-22|P1/SIAT1","0.343008931848477","-0.846805637076427"
"antigen","A/Nordrhein-Westfalen/3/2021|2021-12-28|P1/SIAT1","0.535129406193813","0.0446781916277647"
"antigen","A/Norway/409/2022|2022-01-04|SIAT1","1.4166869006634","-0.628358554608434"
"antigen","A/Norway/530/2022|2022-01-06|SIAT1","1.2074897014715","0.147755839166766"
"antigen","A/Norway/676/2022|2022-01-11|SIAT1","-1.63687111236498","0.940549581939399"
"antigen","A/Rheinland-Pfalz/2/2021|2021-12-22|P1/SIAT1","0.327254835546318","0.275293213409028"
"antigen","A/Saarland/1/2022|2022-01-03|P1/SIAT1","0.535129403522222","0.0446781781897208"
"antigen","A/Serbia/206/2022|2022-01-13|SIAT1","0.0671182562696082","0.471599369231926"
"antigen","A/Serbia/336/2022|2022-01-17|SIAT1","0.0965793110070947","0.26435353051873"
"antigen","A/Serbia/416473/2022|2022-01-17|SIAT1","0.318603582429357","0.267553519780489"
"antigen","A/Serbia/416476/2022|2022-01-17|SIAT1","0.0671182566387759","0.471599371376116"
"antigen","A/Serbia/416478/2022|2022-01-17|SIAT1","0.0671182545314579","0.471599367277295"
"antigen","A/South Africa/R14962/2021|2021-10-12|MDCK3/MDCK2/SIAT1","-1.99067447773007","1.59496540495958"
"antigen","A/Stockholm/5/2021|2021-04-16|S0/S3","-0.15747132655728","0.684895135254618"
"antigen","A/Thuringen/1/2022|2022-01-03|P1/SIAT1","0.0965793115271524","0.264353530918977"
"antigen","A/Albania/31/2021|2021-12-17|SIAT1","-0.0185576908498956","0.804920233935721"
"antigen","A/Albania/622/2021|2021-12-20|SIAT1","0.0730637312475557","0.58094263298651"
"antigen","A/Albania/78/2021|2021-12-17|SIAT1","0.578560741482403","0.381233557009088"
"antigen","A/Albania/8322/2021|2021-12-10|SIAT1","0.333401254540435","0.486215870416347"
"antigen","A/Albania/8441/2021|2021-12-10|SIAT1","0.819499975852032","-1.31181569566044"
"antigen","A/Albania/8614/2021|2021-12-11|SIAT1","0.333401251433455","0.486215877810296"
"antigen","A/Albania/862/2021|2021-12-21|SIAT1","1.03929726168124","-0.515555328674235"
"antigen","A/Albania/890/2021|2021-12-21|SIAT1","0.750762584323115","-1.00022855836834"
"antigen","A/Albania/9725/2021|2021-12-16|SIAT1","0.073063731126326","0.580942632776362"
"antigen","A/Albania/9833/2021|2021-12-16|SIAT1","0.750762583820526","-1.00022855908447"
"antigen","A/Argentina/R21/2022|2022-01-09|SIAT2","1.4801171859064","-1.48101448459977"
