"type","name","",""
"antigen","A/Bretagne/1413/2017|2017-10-09|MDCK1/SIAT4","0.53304643295861","-1.32671266714505"
"antigen","A/Christchurch/516/2019|2019-04-03|E3/E1","1.79233342370542","-2.12537646234881"
"antigen","A/England/538/2018|2018-02-26|MDCK1/SIAT4","-1.57268195412633","1.22243169283721"
"antigen","A/Hong Kong/5738/2014|2014-04-30|MDCK1/MDCK2/SIAT1","0.476886248582091","-0.262919117694554"
"antigen","A/Kansas/14/2017|2017-12-14|SIAT3/SIAT2","-1.45070893409775","0.895504399983817"
"antigen","A/Newcastle/82/2018|2018-12-23|E4/E1","1.96576135414664","-0.737209452107621"
"antigen","A/Qatar/10-VI-19-0048252/2019|2019-08-21|SIAT1","2.61124974000673","0.99019665231207"
"antigen","A/Qatar/10-VI-19-0048255/2019|2019-08-21|SIAT1","2.05103637755167","0.427566893984058"
"antigen","A/Qatar/10-VI-19-0048317/2019|2019-08-22|SIAT1","2.29006597024829","0.502383414930539"
"antigen","A/Qatar/10-VI-19-0048332/2019|2019-08-22|SIAT1","2.43494673234583","0.544965420554391"
"antigen","A/Qatar/10-VI-19-0048393/2019|2019-08-22|SIAT1","2.06390975695204","0.566006199761499"
"antigen","A/Qatar/10-VI-19-0049653/2019|2019-08-29|SIAT1","1.32580804153106","-0.304486254455976"
"antigen","A/Qatar/13-VI-19-0046447/2019|2019-08-08|SIAT1","2.00109164318229","0.748862911272301"
"antigen","A/Qatar/16-VI-19-0048499/2019|2019-08-22|SIAT1","2.14372885649342","0.080035393896473"
"antigen","A/Qatar/16-VI-19-0048823/2019|2019-08-25|SIAT1","1.42547988093361","0.325647366310578"
"antigen","A/Qatar/16-VI-19-0049409/2019|2019-08-27|SIAT1","1.167184339599","0.74898194171292"
"antigen","A/Singapore/INFIMH-16-0019/2016|2016-04-14|E5/E2","1.29797559006531","0.397688386071088"
"antigen","A/South Australia/34/2019|2019-02-06|E6/E1","1.63947334487323","-2.30451352055893"
"antigen","A/Switzerland/8060/2017|2017-12-12|E7/E1","0.662296155152175","-1.97161879798372"
"antigen","IVR-197 (A/South Australia/34/2019)|2019-02-06|E5/D8/E1","1.66825404454767","-1.9025640142164"
"antigen","NYMC X-327 (A/Kansas/14/17)|2017-12-14|Ex/E1","-2.36698590008432","0.556760062775362"
"antigen","A/Bangladesh/1001/2020|2020-09-05|SIAT1","0.575674206503908","0.756900064593297"
"antigen","A/Bangladesh/2002/2020|2020-10-01|SIAT1","0.575674206093066","0.756900064964913"
"antigen","A/Bangladesh/2004/2020|2020-10-04|SIAT1","0.184809759622815","0.778956280481365"
"antigen","A/Bangladesh/4005/2020|2020-10-04|SIAT1","0.184809774466168","0.77895626657916"
"antigen","A/Denmark/3264/2019|2019-10-25|SIAT3/SIAT3","0.701207407726889","-1.1662554050818"
"antigen","A/England/538/2018|2018-02-26|MDCK1/SIAT3","-1.27135224874141","0.785760026468194"
"antigen","A/Finland/183/2020|2020-03-02|E6","1.88932898918748","0.844451503950637"
"antigen","A/Finland/183/2020|2020-03-02|MDCK1/SIAT2","0.872326802113318","-0.411453318689829"
"antigen","A/Hong Kong/2671/2019|2019-06-17|E8/E2","-1.89024702873665","-2.13723893575072"
"antigen","A/Hong Kong/2671/2019|2019-06-17|MDCK1/SIAT4","0.681597443738785","-1.72282686131228"
"antigen","A/Hong Kong/5738/2014|2014-04-30|MDCK1/MDCK2/SIAT2","0.304062932371475","0.339804140294349"
"antigen","A/Hungary/64/2020|2020-02-08|MDCK1/SIAT2","1.53161775179189","-0.286424422008399"
"antigen","A/Tasmania/503/2020|2020-02-16|E5/E1","-0.341725126746359","-1.68336813624691"
"antigen","A/Aichi/218/2019|2019-04-02|MDCK2+SIAT2/SIAT1","-1.14693460854788","0.5932541332257"
"antigen","A/Bucuresti/256299/2020|2020-01-13|MDCK1/SIAT1","-1.11719588714074","1.42919257952254"
"antigen","A/Czech Republic/101/2020|2020-01-13|P1/SIAT1","-1.19829644661738","1.11266876406497"
"antigen","A/Czech Republic/1691/2019|2019-12-05|P3/SIAT1","-1.04375410441796","1.7163553597556"
"antigen","A/Czech Republic/38/2020|2020-01-07|P2/SIAT1","-1.19829644679625","1.11266876473674"
"antigen","A/Czech Republic/87/2020|2020-01-10|P1/SIAT1","-1.19829644659127","1.11266876315895"
"antigen","A/Delaware/41/2019|2019-03-06|SIAT2/SIAT1","1.5951042104157","-0.187370534428015"
"antigen","A/Hong Kong/2669/2019|2019-06-18|MDCK1/SIAT5","1.22403237405732","0.0765478887934142"
"antigen","A/Hong Kong/2671/2019|2019-06-17|E8/E1","-1.35435088523562","-1.51828254473568"
"antigen","A/Hong Kong/5738/2014|2014-04-30|MDCK1/MDCK3/SIAT2","0.280559319311738","-0.542331972378936"
"antigen","A/Jilin-Dongchang/1574/2019|2019-12-09|C1/SIAT1/SIAT1","2.39662542969883","1.00638434024212"
"antigen","A/Kanagawa/ZC1907/2019|2019-11-01|SIAT2/SIAT1","1.68034832447567","-0.218874992110771"
"antigen","A/Lithuania/MB170/2019|2019-12-31|SIAT1/SIAT1","-1.1171958839051","1.42919257036092"
"antigen","A/Lithuania/MB398/2020|2020-01-05|SIAT1/SIAT1","-1.11719585462294","1.42919257100769"
"antigen","A/Lithuania/MB42384/2019|2019-12-24|SIAT2/SIAT1","-0.879278937019715","1.24004036118545"
"antigen","A/Norway/108/2020|2020-01-06|SIAT1/SIAT1","-1.15725162569054","0.884094584505878"
"antigen","A/Norway/47/2020|2020-01-03|SIAT1/SIAT1","-0.79644036690443","0.886479827819282"
"antigen","A/Palermo/02/2020|2020-01-02|SIAT2/SIAT1","1.92026183242365","0.173695843526804"
