"type","name","",""
"antigen","A/Algeria/G138/2006|2006-11-05|MDCK1_1","0.923932293420543","1.06966416343368"
"antigen","A/Algeria/G273/2006|2006-11-22|MDCK1_1","3.2077984772812","1.41247447625566"
"antigen","A/Belgium/SP003/07|2006-12-31|LLCMK1 MDCK2_1","1.16417486428508","-1.03943137186624"
"antigen","A/Belgium/SP005/07|2006-12-19|LLCMK1 MDCK2_2","1.11854296915859","-0.843155513042511"
"antigen","A/Belgium/SP007/07|2006-12-25|LLCMK1 MDCK2_2","3.83954936129037","0.59592546021576"
"antigen","A/Belgium/SP009/07|2006-01-07|LLCMK1 MDCK2_2","2.35628817512804","-0.513759450980661"
"antigen","A/Berlin/2/2006|2006-02-06|MDCKx_3","0.745515057309835","0.571447047152033"
"antigen","A/Bordeaux/1276/06|2006-11-30|P3MDCK_1","1.25934704634572","-0.8901431222477"
"antigen","A/California/7/2004|2004-09-16|SpfCk3 E3_3","-1.56945081789254","-1.29403592793723"
"antigen","A/Egypt/99/2006|2006-12-06|E2_1","0.42142532674569","-1.68656349747478"
"antigen","A/Greece/624/2006|2006-12-14|MDCK1_1","1.36988715723494","1.81635416919129"
"antigen","A/Hiroshima/33/2006|2006-01-23|E5_2","1.57415002834875","-0.265183036261862"
"antigen","A/Hiroshima/52/2005|2006-11-25|E3_3","-0.0679880495018269","-1.35314532764654"
"antigen","A/Hong Kong/4443/2005|2006-06-24|MDCK2_6","0.177412030840703","-1.70518758047862"
"antigen","A/Lyon/1312/06|2006-12-20|P2MDCK_1","2.15849851769668","-1.01421968832988"
"antigen","A/Lyon/1324/06|2006-12-20|P2MDCK_1","2.09359703973654","-0.481546064377029"
"antigen","A/Lyon/1359/06|2006-12-27|P2MDCK_1","2.8835343031917","0.455253144440347"
"antigen","A/Lyon/636/2006|2006-02-15|MDCK2_4","-0.91551315269718","-0.202936477003526"
"antigen","A/Madagascar/2670/2006|2006-11-10|MDCK1_1","-1.09099337441962","-3.61190285677335"
"antigen","A/Madagascar/2699/2006|2006-11-14|MDCK1_1","-0.0312325785716724","0.699990301504903"
"antigen","A/Madagascar/2700/2006|2006-11-14|MDCK1_1","-2.25737026590695","-4.23181678091307"
"antigen","A/Madagascar/2761/2006|2006-11-17|MDCK2_1","-1.241561307668","-3.7689325265324"
"antigen","A/Marseille/1215/06|2006-11-22|Px+P1MDCK_1","1.80414099367028","-0.406461943234747"
"antigen","A/Norway/2250/2006|2006-12-01|MDCK1_1","-1.09529989974041","-4.86148958407062"
"antigen","A/Norway/2252/2006|2006-12-04|MDCK1_1","1.10951437318469","1.48357282371363"
"antigen","A/Norway/2253/2006|2006-12-04|MDCK1_1","-1.00403323082795","-5.32844824109257"
"antigen","A/Paris/395/2007|2006-12-01|MDCKx_1","0.701052616480898","0.468425824227659"
"antigen","A/Parma/9/2006|2006-12-01|MDCK1_1","2.51930447831264","-0.63649001140228"
"antigen","A/Sendai/F131/2006|2006-08-01|E3_2","1.01505930819522","-0.96149363589477"
"antigen","A/Slovakia/134/2006|2006-02-06|MDCK1_3","-0.757978352592731","-2.89413342385986"
"antigen","A/Switzerland/6936/2006|2006-12-04|MDCKx_2","-0.285359499259146","0.8591131194764"
"antigen","A/Umea/7/06|2006-11-15|MDCK1_1","4.02349795030259","-1.1689617577083"
"antigen","A/Wisconsin/67/2005|2005-08-31|SpfCk3E3_2","-0.43600856686947","-2.38960187671222"
"sera","A/Berlin/2/2006|*|F8/06","-2.49553406211419","-0.875763842934079"
"sera","A/California/7/2004|*|F31/05","-2.25897102461365","-1.25988881295457"
"sera","A/Hiroshima/33/2006|*|JAP","-0.00988847915762144","-0.877546568410025"
"sera","A/Hiroshima/52/2005|*|F2/06","-0.536024086884347","-1.68578056447285"
"sera","A/Hong Kong/4443/2005|*|F24/05","0.195800366386305","-2.26663433637936"
"sera","A/Lyon/636/2006|*|F12/06","-1.24775778775439","-1.98944635782856"
"sera","A/Sendai/F131/2006|*|JAP","-0.0379405446529645","-1.08421613845947"
"sera","A/Slovakia/134/2006|*|F9/06","0.38357993197628","-2.23308818031319"
"sera","A/Wisconsin/67/2005|*|F6/06","-1.11578646534757","-2.88902203692291"
